State,PCT_LACCESS_POP15,PCT_LACCESS_HHNV15,PCT_LACCESS_SNAP15,LACCESS_CHILD15,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,GROCPTH16,SUPERCPTH16,SNAPSPTH17,WICSPTH16,FFRPTH16,FSRPTH16,PCT_SNAP17,PCT_REDUCED_LUNCH15,PCT_OBESE_ADULTS17,RECFACPTH16,FOODINSEC_12_14,FOODINSEC_15_17,CH_FOODINSEC_14_17,VLFOODSEC_12_14,VLFOODSEC_15_17,CH_VLFOODSEC_14_17
Georgia,0,1668.9765540450155,0,0,36189.415919704676,19343.36989752715,5793.695712088972,2152.8175109346316,141.9980010793627,34.29973929461359,0.18418019376100628,0.016971618660377358,1.12967303536478,0,0.5997824548805032,0.5013656473584905,15.58496196,0,20479.90633962264,0.050215062018867926,15.7,13,-2.7,6.2,4.4,-1.8
Hawaii,76833.28163778006,4393.766183343234,7398.648380036996,18226.4258446,65150.167919398526,4156.8601539032325,25414.747888883143,107489.74351585517,594.34579327674,26943.335095164253,0.1931270544,0.007218704,0,0,0.697717875,0.8296603646,11.8417163,0,67977.79800000001,0.0574514352,12.3,7.4,-4.9,4,2.9,-1.1
Idaho,7678.566810092448,509.1535348528257,808.5758097249293,2020.9834720859092,32121.49112558287,219.71505684655295,4282.743317510652,460.26840503093047,416.3640920680534,53.20233070564613,0.2828247856590909,0.014250676636363636,0,0,0.5607637058863636,0.9680807825227272,9.974171146,0,11206.783863636363,0.07449190661363636,11.4,10.5,-0.9,4.6,4.3,-0.3
Illinois,0,1589.733816825309,0,0,79804.04464661701,18014.971749757602,20018.55295114927,5741.1345825223625,184.13723263177263,29.181025615221863,0.20281113226470587,0.021235858480392156,0.8516073915196078,0,0.5660110394509804,0.7565117616960785,14.67361057,4141.2155272204045,39109.4543627451,0.08164154123529412,14.1,11,-3.1,5.3,4,-1.3
Indiana,0,1637.2385965765116,0,0,58748.208340547026,6476.636469567592,4327.863730791461,1163.42722780639,156.95750182490207,20.700927760690217,0.15943584030434782,0.020707092391304346,0.7588787238043478,0.13638780529347827,0.6058601084673914,0.6413816684456521,10.07955619,5223.148007161553,24226.12591304348,0.07042574355434783,11.7,11.2,-0.5,4.4,4.7,0.3
Iowa,5831.563477518002,526.4814908820016,654.5774185131319,1356.1888630434344,27986.516600142822,924.808863099365,1587.3236139980775,568.0421497418814,87.96367851089404,18.67928151757586,0.2504266504747475,0.019807001454545455,0.9085977855858586,0.2607077453636364,0.49990432464646467,0.8037038992727272,11.63147219,0,11514.845858585859,0.0914751382020202,14.6,13.6,-1,6.4,5.7,-0.7
Kansas,6568.638164098684,470.53407408678436,667.1117091717907,1688.2148952621906,21630.25557162641,1603.2412645224545,2923.79174503603,666.4459341234578,222.06074134450895,19.319598104324,0.33453458074285713,0.017481434685714285,0.9427525457809524,0,0.5311531847619048,0.9558880316666667,8.024978691,2552.4110813939287,8983.32582857143,0.05901464880952381,15.9,13.3,-2.6,6.4,5.6,-0.8
Kentucky,0,1165.4065321639555,0,0,31858.215514446078,2872.4075823255434,1150.6930813456052,421.943488119436,73.75003522040491,17.7468175798165,0.198570209175,0.019977008075,1.0523569730833333,0.22686079175833335,0.5751951463583334,0.47107453480833333,14.70241272,0,12685.937891666665,0.042629195725,17.5,14.7,-2.8,7,6.1,-0.9
Louisiana,17070.237374434866,2242.607456322331,2681.59971529552,4259.271047470313,44110.79059051519,23214.60231932812,3127.43738338714,1127.8328297121518,447.3486418414533,24.920220209316717,0.194319352234375,0.024068642296875,0.984078784984375,0,0.55160028909375,0.41471293057812497,19.83125275,0,26461.153593750005,0.0606611846875,17.6,17.3,-0.3,7.1,7.1,0
Maine,10802.26859835331,2307.2557818357013,1551.2828538995836,2218.180445425,78555.49878654981,958.2859682272949,1065.6784685175176,851.1740914051919,505.19117749604936,19.62661593765875,0.3217633169375,0.01485453125,1.1320980803125,0.2246775459375,0.66351421775,1.1211040835,13.45409274,5328.4295067089815,24214.291875000003,0.1020410558125,9.6,10.2,0.6,4.1,3.8,-0.3
